home_team,away_team,tournament_rank,home_rank,away_rank,home_team_gd,away_team_gd,target
Bahrain,Iraq,1,49,38,-54,-42,0
United Arab Emirates,Kuwait,1,41,55,9,-57,1
Bahrain,Kuwait,1,49,55,-54,-57,0
Honduras,El Salvador,1,50,47,-86,-93,0
United Arab Emirates,Iraq,1,41,38,9,-42,1
El Salvador,Panama,1,47,24,-93,-74,0
Panama,Honduras,1,24,50,-74,-86,0
Tunisia,Algeria,1,32,26,-6,7,1
Costa Rica,El Salvador,1,28,47,-58,-93,1
Zambia,Nigeria,1,46,30,-25,-12,0
Ivory Coast,Tunisia,1,31,32,0,-6,1
Costa Rica,Honduras,1,28,50,-58,-86,1
Algeria,Ivory Coast,1,26,31,7,0,0
Oman,China PR,1,45,51,-31,-47,1
Ivory Coast,Nigeria,1,31,30,0,-12,0
Chile,Egypt,1,37,25,10,1,1
Croatia,South Korea,1,10,20,-5,44,1
England,Brazil,1,4,5,42,187,1
France,Germany,1,3,9,72,52,0
Honduras,United States,1,50,14,-86,57,1
Mexico,Jamaica,1,12,42,62,-79,0
Netherlands,Italy,1,7,11,47,-2,0
Panama,Costa Rica,1,24,28,-74,-58,0
Qatar,Malaysia,1,34,53,-1,-76,1
Saudi Arabia,China PR,1,39,51,-20,-47,1
Spain,Uruguay,1,2,15,103,45,1
Sweden,Argentina,1,23,1,-1,108,0
Thailand,Kuwait,1,52,55,-50,-57,0
Qatar,Egypt,1,34,25,-1,1,1
Malaysia,Saudi Arabia,1,53,39,-76,-20,0
Qatar,Thailand,1,34,52,-1,-50,1
Italy,Brazil,1,11,5,-2,187,0
Bahrain,Qatar,1,49,34,-54,-1,1
China PR,Iraq,1,51,38,-47,-42,1
Honduras,Mexico,1,50,12,-86,62,0
Jamaica,Panama,1,42,24,-79,-74,0
Netherlands,Estonia,1,7,54,47,-118,1
Peru,Chile,1,29,37,-42,10,1
United Arab Emirates,Uzbekistan,1,41,35,9,-4,1
United States,Costa Rica,1,14,28,57,-58,1
Australia,Oman,1,21,45,24,-31,0
Chile,Uruguay,1,37,15,10,45,1
Costa Rica,Jamaica,1,28,42,-58,-79,1
France,Spain,1,3,2,72,103,0
Jordan,Japan,1,40,16,-23,97,1
South Korea,Qatar,1,20,34,44,-1,1
Kuwait,Iran,1,55,18,-57,45,0
Mexico,United States,1,12,14,62,57,0
Panama,Honduras,1,24,50,-74,-86,1
Mexico,Peru,1,12,29,62,-42,0
Brazil,Chile,1,5,37,187,10,0
Oman,Iran,1,45,18,-31,45,1
United States,Belgium,1,14,8,57,63,0
Mexico,Nigeria,1,12,30,62,-12,0
Panama,Peru,1,24,29,-74,-42,0
Brazil,England,1,5,4,187,42,0
United States,Germany,1,14,9,57,52,1
Jamaica,Mexico,1,42,12,-79,62,0
Japan,Australia,1,16,21,97,24,0
Oman,Iraq,1,45,38,-31,-42,1
Qatar,Iran,1,34,18,-1,45,0
Uruguay,France,1,15,3,45,72,1
China PR,Uzbekistan,1,51,35,-47,-4,0
Argentina,Colombia,1,1,13,108,66,0
Costa Rica,Honduras,1,28,50,-58,-86,1
Jamaica,United States,1,42,14,-79,57,0
Panama,Mexico,1,24,12,-74,62,0
Brazil,France,1,5,3,187,72,1
Croatia,Portugal,1,10,6,-5,77,0
Australia,Jordan,1,21,40,24,-23,1
China PR,Netherlands,1,51,7,-47,47,0
Colombia,Peru,1,13,29,66,-42,1
Honduras,Jamaica,1,50,42,-86,-79,1
Iraq,Japan,1,38,16,-42,97,0
South Korea,Uzbekistan,1,20,35,44,-4,1
Mexico,Costa Rica,1,12,28,62,-58,0
United States,Panama,1,14,24,57,-74,1
Ghana,Ivory Coast,1,44,31,-12,0,1
Ghana,Ivory Coast,1,44,31,-12,0,0
Brazil,Japan,1,5,16,187,97,1
China PR,Thailand,1,51,52,-47,-50,0
Mexico,Italy,1,12,11,62,-2,0
Spain,Uruguay,1,2,15,103,45,1
Australia,Iraq,1,21,38,24,-42,1
Costa Rica,Panama,1,28,24,-58,-74,1
Jordan,Oman,1,40,45,-23,-31,1
South Korea,Iran,1,20,18,44,45,0
United States,Honduras,1,14,50,57,-86,1
Uzbekistan,Qatar,1,35,34,-4,-1,1
Brazil,Mexico,1,5,12,187,62,1
Italy,Japan,1,11,16,-2,97,1
Nigeria,Uruguay,1,30,15,-12,45,0
Brazil,Italy,1,5,11,187,-2,1
Japan,Mexico,1,16,12,97,62,0
Nigeria,Spain,1,30,2,-12,103,0
Brazil,Uruguay,1,5,15,187,45,1
Spain,Italy,1,2,11,103,-2,0
Brazil,Spain,1,5,2,187,103,1
Uruguay,Italy,1,15,11,45,-2,0
Mexico,Panama,1,12,24,62,-74,0
Honduras,El Salvador,1,50,47,-86,-93,1
United States,Costa Rica,1,14,28,57,-58,1
Zambia,South Africa,1,46,36,-25,-7,0
South Korea,Australia,1,20,21,44,24,0
Honduras,Costa Rica,1,50,28,-86,-58,1
Japan,China PR,1,16,51,97,-47,0
United States,El Salvador,1,14,47,57,-93,1
South Korea,China PR,1,20,51,44,-47,0
Panama,Mexico,1,24,12,-74,62,1
United States,Honduras,1,14,50,57,-86,1
Japan,Australia,1,16,21,97,24,1
Australia,China PR,1,21,51,24,-47,0
South Korea,Japan,1,20,16,44,97,0
United States,Panama,1,14,24,57,-74,1
Belgium,France,1,8,3,63,72,0
Chile,Iraq,1,37,38,10,-42,1
Egypt,Uganda,1,25,48,1,-31,1
Italy,Argentina,1,11,1,-2,108,0
Japan,Uruguay,1,16,15,97,45,0
South Korea,Peru,1,20,29,44,-42,0
Mexico,Ivory Coast,1,12,31,62,0,1
Poland,Denmark,1,27,19,-33,-9,1
Portugal,Netherlands,1,6,7,77,47,0
South Africa,Nigeria,1,36,30,-7,-12,0
Switzerland,Brazil,1,17,5,4,187,1
Turkey,Ghana,1,22,44,-20,-12,0
Costa Rica,United States,1,28,14,-58,57,1
Estonia,Netherlands,1,54,7,-118,47,0
Ghana,Zambia,1,44,46,-12,-25,1
Jordan,Uzbekistan,1,40,35,-23,-4,0
Mexico,Honduras,1,12,50,62,-86,0
Panama,Jamaica,1,24,42,-74,-79,0
Peru,Uruguay,1,29,15,-42,45,0
Switzerland,Iceland,1,17,43,4,-81,0
Brazil,Australia,1,5,21,187,24,1
Kuwait,Bahrain,1,55,49,-57,-54,1
Brazil,Portugal,1,5,6,187,77,1
China PR,Malaysia,1,51,53,-47,-76,1
Honduras,Panama,1,50,24,-86,-74,0
Jamaica,Costa Rica,1,42,28,-79,-58,0
Japan,Ghana,1,16,44,97,-12,1
South Korea,Croatia,1,20,10,44,-5,0
Spain,Chile,1,2,37,103,10,0
Uruguay,Colombia,1,15,13,45,66,1
United States,Mexico,1,14,12,57,62,1
Uzbekistan,Jordan,1,35,40,-4,-23,0
Egypt,Uganda,1,25,48,1,-31,1
Jordan,Kuwait,1,40,55,-23,-57,0
Thailand,Bahrain,1,52,49,-50,-54,1
Argentina,Peru,1,1,29,108,-42,1
Colombia,Chile,1,13,37,66,10,0
Croatia,Belgium,1,10,8,-5,63,0
Denmark,Italy,1,19,11,-9,-2,0
Estonia,Turkey,1,54,22,-118,-20,0
France,Australia,1,3,21,72,24,1
Honduras,Costa Rica,1,50,28,-86,-58,1
Mexico,Panama,1,12,24,62,-74,1
United States,Jamaica,1,14,42,57,-79,1
South Korea,Brazil,1,20,5,44,187,0
Tunisia,Cameroon,1,32,33,-6,-23,0
Brazil,Zambia,1,5,46,187,-25,1
Costa Rica,Mexico,1,28,12,-58,62,1
England,Poland,1,4,27,42,-33,1
Ghana,Egypt,1,44,25,-12,1,1
Iran,Thailand,1,18,52,45,-50,1
Iraq,Saudi Arabia,1,38,39,-42,-20,0
Jamaica,Honduras,1,42,50,-79,-86,0
Jordan,Oman,1,40,45,-23,-31,0
Malaysia,Bahrain,1,53,49,-76,-54,0
Panama,United States,1,24,14,-74,57,0
Sweden,Germany,1,23,9,-1,52,0
Turkey,Netherlands,1,22,7,-20,47,0
Uruguay,Argentina,1,15,1,45,108,1
Jordan,Nigeria,1,40,30,-23,-12,1
Jordan,Zambia,1,40,46,-23,-25,1
Kuwait,Malaysia,1,55,53,-57,-76,1
Jordan,Uruguay,1,40,15,-23,45,0
Belgium,Colombia,1,8,13,63,66,0
Egypt,Zambia,1,25,46,1,-25,1
Bahrain,Malaysia,1,49,53,-54,-76,1
England,Chile,1,4,37,42,10,0
Iceland,Croatia,1,43,10,-81,-5,0
Italy,Germany,1,11,9,-2,52,0
South Korea,Switzerland,1,20,17,44,4,1
Portugal,Sweden,1,6,23,77,-1,1
Saudi Arabia,Iraq,1,39,38,-20,-42,1
Thailand,Iran,1,52,18,-50,45,0
Honduras,Brazil,1,50,5,-86,187,0
Netherlands,Japan,1,7,16,47,97,0
Cameroon,Tunisia,1,33,32,-23,-6,1
Italy,Nigeria,1,11,30,-2,-12,0
Australia,Costa Rica,1,21,28,24,-58,1
Belgium,Japan,1,8,16,63,97,0
Brazil,Chile,1,5,37,187,10,1
China PR,Saudi Arabia,1,51,39,-47,-20,0
Croatia,Iceland,1,10,43,-5,-81,1
Egypt,Ghana,1,25,44,1,-12,1
England,Germany,1,4,9,42,52,0
Kuwait,Thailand,1,55,52,-57,-50,1
Malaysia,Qatar,1,53,34,-76,-1,0
Netherlands,Colombia,1,7,13,47,66,0
South Africa,Spain,1,36,2,-7,103,1
Sweden,Portugal,1,23,6,-1,77,0
Uruguay,Jordan,1,15,40,45,-23,0
Qatar,Bahrain,1,34,49,-1,-54,0
Oman,Bahrain,1,45,49,-31,-54,0
Bahrain,Iraq,1,49,38,-54,-42,0
Iraq,Oman,1,38,45,-42,-31,0
Qatar,Saudi Arabia,1,34,39,-1,-20,1
Kuwait,Jordan,1,55,40,-57,-23,0
Bahrain,Jordan,1,49,40,-54,-23,0
Qatar,Kuwait,1,34,55,-1,-57,1
Bahrain,Kuwait,1,49,55,-54,-57,0
Qatar,Jordan,1,34,40,-1,-23,1
Iceland,Sweden,1,43,23,-81,-1,0
Chile,Costa Rica,1,37,28,10,-58,1
Costa Rica,South Korea,1,28,20,-58,44,0
Mexico,South Korea,1,12,20,62,44,1
Oman,Jordan,1,45,40,-31,-23,0
United States,South Korea,1,14,20,57,44,1
Iran,Kuwait,1,18,55,45,-57,1
Belgium,Ivory Coast,1,8,31,63,0,0
Colombia,Tunisia,1,13,32,66,-6,0
England,Denmark,1,4,19,42,-9,1
France,Netherlands,1,3,7,72,47,1
Germany,Chile,1,9,37,52,10,1
Iraq,China PR,1,38,51,-42,-47,1
Portugal,Cameroon,1,6,33,77,-23,1
Qatar,Bahrain,1,34,49,-1,-54,0
South Africa,Brazil,1,36,5,-7,187,0
Spain,Italy,1,2,11,103,-2,1
Switzerland,Croatia,1,17,10,4,-5,0
Turkey,Sweden,1,22,23,-20,-1,1
Uzbekistan,United Arab Emirates,1,35,41,-4,9,0
Zambia,Uganda,1,46,48,-25,-31,1
Germany,Poland,1,9,27,52,-33,0
Thailand,Kuwait,1,52,55,-50,-57,0
Australia,South Africa,1,21,36,24,-7,0
Uzbekistan,Oman,1,35,45,-4,-31,0
Denmark,Sweden,1,19,23,-9,-1,1
South Korea,Tunisia,1,20,32,44,-6,0
Uzbekistan,Oman,1,35,45,-4,-31,0
England,Peru,1,4,29,42,-42,1
Switzerland,Jamaica,1,17,42,4,-79,1
Netherlands,Ghana,1,7,44,47,-12,1
Germany,Cameroon,1,9,33,52,-23,0
Sweden,Belgium,1,23,8,-1,63,0
United States,Turkey,1,14,22,57,-20,1
Costa Rica,Japan,1,28,16,-58,97,0
Brazil,Panama,1,5,24,187,-74,1
Switzerland,Peru,1,17,29,4,-42,1
El Salvador,Ivory Coast,1,47,31,-93,0,0
Iceland,Estonia,1,43,54,-81,-118,1
Jamaica,Egypt,1,42,25,-79,1,0
Colombia,Jordan,1,13,40,66,-23,1
Croatia,Australia,1,10,21,-5,24,1
Japan,Zambia,1,16,46,97,-25,1
Mexico,Portugal,1,12,6,62,77,0
Belgium,Tunisia,1,8,32,63,-6,1
El Salvador,Spain,1,47,2,-93,103,0
Honduras,England,1,50,4,-86,42,0
United States,Nigeria,1,14,30,57,-12,1
France,Jamaica,1,3,42,72,-79,1
Ghana,South Korea,1,44,20,-12,44,1
Brazil,Croatia,3,5,10,187,-5,1
Chile,Australia,3,37,21,10,24,1
Mexico,Cameroon,3,12,33,62,-23,1
Spain,Netherlands,3,2,7,103,47,0
England,Italy,3,4,11,42,-2,0
Ivory Coast,Japan,3,31,16,0,97,1
Uruguay,Costa Rica,3,15,28,45,-58,0
France,Honduras,3,3,50,72,-86,1
Germany,Portugal,3,9,6,52,77,1
Ghana,United States,3,44,14,-12,57,0
Iran,Nigeria,3,18,30,45,-12,0
Belgium,Algeria,3,8,26,63,7,1
Brazil,Mexico,3,5,12,187,62,0
Australia,Netherlands,3,21,7,24,47,0
Cameroon,Croatia,3,33,10,-23,-5,0
Spain,Chile,3,2,37,103,10,0
Colombia,Ivory Coast,3,13,31,66,0,1
Uruguay,England,3,15,4,45,42,1
Italy,Costa Rica,3,11,28,-2,-58,0
Switzerland,France,3,17,3,4,72,0
Argentina,Iran,3,1,18,108,45,1
Germany,Ghana,3,9,44,52,-12,0
South Korea,Algeria,3,20,26,44,7,0
United States,Portugal,3,14,6,57,77,0
Australia,Spain,3,21,2,24,103,0
Brazil,Cameroon,3,5,33,187,-23,1
Croatia,Mexico,3,10,12,-5,62,0
Netherlands,Chile,3,7,37,47,10,1
Costa Rica,England,3,28,4,-58,42,0
Italy,Uruguay,3,11,15,-2,45,0
Japan,Colombia,3,16,13,97,66,0
Honduras,Switzerland,3,50,17,-86,4,0
Nigeria,Argentina,3,30,1,-12,108,0
South Korea,Belgium,3,20,8,44,63,0
Portugal,Ghana,3,6,44,77,-12,1
United States,Germany,3,14,9,57,52,0
Brazil,Chile,3,5,37,187,10,0
Colombia,Uruguay,3,13,15,66,45,1
Netherlands,Mexico,3,7,12,47,62,1
France,Nigeria,3,3,30,72,-12,1
Germany,Algeria,3,9,26,52,7,1
Argentina,Switzerland,3,1,17,108,4,1
Belgium,United States,3,8,14,63,57,1
Brazil,Colombia,3,5,13,187,66,1
France,Germany,3,3,9,72,52,0
Argentina,Belgium,3,1,8,108,63,1
Netherlands,Costa Rica,3,7,28,47,-58,0
Brazil,Germany,3,5,9,187,52,0
Netherlands,Argentina,3,7,1,47,108,0
Brazil,Netherlands,3,5,7,187,47,0
Germany,Argentina,3,9,1,52,108,1
Peru,Panama,1,29,24,-42,-74,1
Denmark,Turkey,1,19,22,-9,-20,0
Germany,Argentina,1,9,1,52,108,0
Belgium,Australia,1,8,21,63,24,1
China PR,Kuwait,1,51,55,-47,-57,1
France,Spain,1,3,2,72,103,1
Iraq,Peru,1,38,29,-42,-42,0
Italy,Netherlands,1,11,7,-2,47,1
Sweden,Estonia,1,23,54,-1,-118,1
Uzbekistan,Jordan,1,35,40,-4,-23,1
Japan,Uruguay,1,16,15,97,45,0
Brazil,Colombia,1,5,13,187,66,1
Ghana,Uganda,1,44,48,-12,-31,0
Mexico,Chile,1,12,37,62,10,0
Costa Rica,Panama,1,28,24,-58,-74,0
Australia,Saudi Arabia,1,21,39,24,-20,1
South Korea,Uruguay,1,20,15,44,45,0
Switzerland,England,1,17,4,4,42,0
China PR,Jordan,1,51,40,-47,-23,0
Iceland,Turkey,1,43,22,-81,-20,1
Kuwait,Bahrain,1,55,49,-57,-54,0
Qatar,Peru,1,34,29,-1,-42,0
Cameroon,Ivory Coast,1,33,31,-23,0,1
Egypt,Tunisia,1,25,32,1,-6,0
South Africa,Nigeria,1,36,30,-7,-12,0
Qatar,Uzbekistan,1,34,35,-1,-4,1
China PR,Thailand,1,51,52,-47,-50,1
Japan,Jamaica,1,16,42,97,-79,1
Jordan,Kuwait,1,40,55,-23,-57,0
Oman,Costa Rica,1,45,28,-31,-58,0
Saudi Arabia,Uruguay,1,39,15,-20,45,0
United Arab Emirates,Australia,1,41,21,9,24,0
Uzbekistan,Bahrain,1,35,49,-4,-54,0
Chile,Peru,1,37,29,10,-42,1
Argentina,Brazil,1,1,5,108,187,0
France,Portugal,1,3,6,72,77,1
Poland,Germany,1,27,9,-33,52,1
Estonia,England,1,54,4,-118,42,0
Mexico,Panama,1,12,24,62,-74,1
Iceland,Netherlands,1,43,7,-81,47,1
Jordan,Kuwait,1,40,55,-23,-57,0
Oman,Uruguay,1,45,15,-31,45,0
Bahrain,Iraq,1,49,38,-54,-42,0
Denmark,Portugal,1,19,6,-9,77,0
Japan,Brazil,1,16,5,97,187,0
South Korea,Costa Rica,1,20,28,44,-58,0
Qatar,Australia,1,34,21,-1,24,1
United Arab Emirates,Uzbekistan,1,41,35,9,-4,0
United States,Honduras,1,14,50,57,-86,0
Zambia,Ivory Coast,1,46,31,-25,0,0
Argentina,Croatia,1,1,10,108,-5,1
Belgium,Iceland,1,8,43,63,-81,1
Netherlands,Mexico,1,7,12,47,62,0
Turkey,Brazil,1,22,5,-20,187,0
Saudi Arabia,Qatar,1,39,34,-20,-1,0
Uruguay,Costa Rica,1,15,28,45,-58,0
Iraq,Kuwait,1,38,55,-42,-57,0
Japan,Honduras,1,16,50,97,-86,1
Jordan,South Korea,1,40,20,-23,44,0
United Arab Emirates,Oman,1,41,45,9,-31,0
United States,Colombia,1,14,13,57,66,0
Uganda,Ghana,1,48,44,-31,-12,1
Italy,Croatia,1,11,10,-2,-5,0
Saudi Arabia,Bahrain,1,39,49,-20,-54,1
Iraq,Oman,1,38,45,-42,-31,0
United Arab Emirates,Kuwait,1,41,55,9,-57,0
Chile,Uruguay,1,37,15,10,45,0
China PR,Honduras,1,51,50,-47,-86,0
Estonia,Jordan,1,54,40,-118,-23,1
France,Sweden,1,3,23,72,-1,1
Iran,South Korea,1,18,20,45,44,1
Japan,Australia,1,16,21,97,24,1
Poland,Switzerland,1,27,17,-33,4,0
Portugal,Argentina,1,6,1,77,108,1
Spain,Germany,1,2,9,103,52,0
Bahrain,Qatar,1,49,34,-54,-1,0
Ivory Coast,Cameroon,1,31,33,0,-23,0
Nigeria,South Africa,1,30,36,-12,-7,0
Tunisia,Egypt,1,32,25,-6,1,1
Kuwait,Oman,1,55,45,-57,-31,0
United Arab Emirates,Iraq,1,41,38,9,-42,1
Oman,Qatar,1,45,34,-31,-1,0
Saudi Arabia,United Arab Emirates,1,39,41,-20,9,1
United Arab Emirates,Oman,1,41,45,9,-31,1
Malaysia,Thailand,1,53,52,-76,-50,0
Saudi Arabia,Qatar,1,39,34,-20,-1,0
South Africa,Ivory Coast,1,36,31,-7,0,1
Thailand,Malaysia,1,52,53,-50,-76,1
Malaysia,Thailand,1,53,52,-76,-50,1
Uzbekistan,Jordan,1,35,40,-4,-23,1
Iraq,Kuwait,1,38,55,-42,-57,0
Uzbekistan,Iraq,1,35,38,-4,-42,1
Qatar,Estonia,1,34,54,-1,-118,1
Uzbekistan,Iraq,1,35,38,-4,-42,0
Bahrain,Saudi Arabia,1,49,39,-54,-20,1
United Arab Emirates,Jordan,1,41,40,9,-23,1
Qatar,Oman,1,34,45,-1,-31,0
Bahrain,Jordan,1,49,40,-54,-23,1
Iran,Iraq,1,18,38,45,-42,1
South Korea,Saudi Arabia,1,20,39,44,-20,1
South Africa,Zambia,1,36,46,-7,-25,1
China PR,Oman,1,51,45,-47,-31,1
Australia,Kuwait,1,21,55,24,-57,1
Cameroon,South Africa,1,33,36,-23,-7,0
South Korea,Oman,1,20,45,44,-31,1
Saudi Arabia,China PR,1,39,51,-20,-47,0
Iran,Bahrain,1,18,49,45,-54,1
Nigeria,Ivory Coast,1,30,31,-12,0,0
Tunisia,Algeria,1,32,26,-6,7,0
United Arab Emirates,Qatar,1,41,34,9,-1,1
Jordan,Iraq,1,40,38,-23,-42,0
Australia,Oman,1,21,45,24,-31,1
Kuwait,South Korea,1,55,20,-57,44,0
China PR,Uzbekistan,1,51,35,-47,-4,1
Bahrain,United Arab Emirates,1,49,41,-54,9,0
Qatar,Iran,1,34,18,-1,45,0
Sweden,Ivory Coast,1,23,31,-1,0,1
Iraq,Japan,1,38,16,-42,97,0
Australia,South Korea,1,21,20,24,44,0
Oman,Kuwait,1,45,55,-31,-57,1
Uzbekistan,Saudi Arabia,1,35,39,-4,-20,1
Algeria,South Africa,1,26,36,7,-7,1
Iran,United Arab Emirates,1,18,41,45,9,1
Qatar,Bahrain,1,34,49,-1,-54,0
Japan,Jordan,1,16,40,97,-23,1
Australia,China PR,1,21,51,24,-47,1
South Korea,Uzbekistan,1,20,35,44,-4,1
Zambia,Tunisia,1,46,32,-25,-6,0
Ghana,Algeria,1,44,26,-12,7,1
Iran,Iraq,1,18,38,45,-42,0
Japan,United Arab Emirates,1,16,41,97,9,0
South Korea,Iraq,1,20,38,44,-42,1
Australia,United Arab Emirates,1,21,41,24,9,1
South Africa,Ghana,1,36,44,-7,-12,0
Cameroon,Ivory Coast,1,33,31,-23,0,0
Chile,United States,1,37,14,10,57,1
Iraq,United Arab Emirates,1,38,41,-42,9,0
Australia,South Korea,1,21,20,24,44,1
Ivory Coast,Algeria,1,31,26,0,7,1
Ivory Coast,Ghana,1,31,44,0,-12,0
United States,Panama,1,14,24,57,-74,1
Denmark,United States,1,19,14,-9,57,1
Germany,Australia,1,9,21,52,24,0
Nigeria,Uganda,1,30,48,-12,-31,0
Bahrain,Colombia,1,49,13,-54,66,0
Chile,Iran,1,37,18,10,45,0
France,Brazil,1,3,5,72,187,0
Oman,Malaysia,1,45,53,-31,-76,1
Qatar,Algeria,1,34,26,-1,7,1
Japan,Tunisia,1,16,32,97,-6,1
South Korea,Uzbekistan,1,20,35,44,-4,0
Switzerland,Estonia,1,17,54,4,-118,1
Argentina,El Salvador,1,1,47,108,-93,1
Netherlands,Turkey,1,7,22,47,-20,0
Brazil,Chile,1,5,37,187,10,1
France,Denmark,1,3,19,72,-9,1
South Africa,Nigeria,1,36,30,-7,-12,0
Kuwait,Colombia,1,55,13,-57,66,0
Oman,Algeria,1,45,26,-31,7,0
Saudi Arabia,Jordan,1,39,40,-20,-23,1
Thailand,Cameroon,1,52,33,-50,-23,0
China PR,Tunisia,1,51,32,-47,-6,0
Estonia,Iceland,1,54,43,-118,-81,0
Italy,England,1,11,4,-2,42,0
Japan,Uzbekistan,1,16,35,97,-4,1
Netherlands,Spain,1,7,2,47,103,1
Panama,Costa Rica,1,24,28,-74,-58,1
Sweden,Iran,1,23,18,-1,45,1
Switzerland,United States,1,17,14,4,57,0
United States,Mexico,1,14,12,57,62,1
Zambia,Ghana,1,46,44,-25,-12,1
Bahrain,Oman,1,49,45,-54,-31,0
El Salvador,Honduras,1,47,50,-93,-86,0
Peru,Mexico,1,29,12,-42,62,0
Jordan,Kuwait,1,40,55,-23,-57,0
Netherlands,United States,1,7,14,47,57,0
Thailand,Bahrain,1,52,49,-50,-54,0
Colombia,Costa Rica,1,13,28,66,-58,1
Brazil,Mexico,1,5,12,187,62,1
France,Belgium,1,3,8,72,63,0
Brazil,Honduras,1,5,50,187,-86,1
Germany,United States,1,9,14,52,57,0
Japan,Iraq,1,16,38,97,-42,1
South Korea,United Arab Emirates,1,20,41,44,9,1
Spain,Costa Rica,1,2,28,103,-58,1
Uzbekistan,Iran,1,35,18,-4,45,0
Croatia,Italy,1,10,11,-5,-2,0
Uruguay,Jamaica,3,15,42,45,-79,1
Brazil,Peru,3,5,29,187,-42,1
Chile,Mexico,3,37,12,10,62,0
Argentina,Uruguay,3,1,15,108,45,1
Italy,Portugal,1,11,6,-2,77,0
Brazil,Colombia,3,5,13,187,66,0
Argentina,Jamaica,3,1,42,108,-79,1
Colombia,Peru,3,13,29,66,-42,0
Chile,Uruguay,3,37,15,10,45,1
Argentina,Colombia,3,1,13,108,66,0
Mexico,Costa Rica,1,12,28,62,-58,0
Chile,Peru,3,37,29,10,-42,1
Honduras,Mexico,1,50,12,-86,62,0
Chile,Argentina,3,37,1,10,108,0
United States,Honduras,1,14,50,57,-86,1
Costa Rica,Jamaica,1,28,42,-58,-79,0
Honduras,Panama,1,50,24,-86,-74,0
Costa Rica,El Salvador,1,28,47,-58,-93,0
United States,Panama,1,14,24,57,-74,0
Jamaica,El Salvador,1,42,47,-79,-93,1
Mexico,Costa Rica,1,12,28,62,-58,1
Panama,Mexico,1,24,12,-74,62,0
United States,Jamaica,1,14,42,57,-79,0
United States,Panama,1,14,24,57,-74,0
Jamaica,Mexico,1,42,12,-79,62,0
China PR,South Korea,1,51,20,-47,44,0
Japan,South Korea,1,16,20,97,44,0
China PR,Japan,1,51,16,-47,97,0
Netherlands,Iceland,1,7,43,47,-81,0
United Arab Emirates,Malaysia,1,41,53,9,-76,1
Germany,Poland,1,9,27,52,-33,1
Portugal,France,1,6,3,77,72,0
United States,Peru,1,14,29,57,-42,1
Costa Rica,Brazil,1,28,5,-58,187,0
Turkey,Netherlands,1,22,7,-20,47,1
United States,Brazil,1,14,5,57,187,0
England,Switzerland,1,4,17,42,4,1
Malaysia,Saudi Arabia,1,53,39,-76,-20,0
Mexico,Argentina,1,12,1,62,108,0
Thailand,Iraq,1,52,38,-50,-42,0
Colombia,Peru,1,13,29,66,-42,0
Jordan,Iraq,1,40,38,-23,-42,1
Bahrain,Uzbekistan,1,49,35,-54,-4,0
Chile,Brazil,1,37,5,10,187,1
Colombia,Peru,1,13,29,66,-42,1
Jordan,Australia,1,40,21,-23,24,1
Kuwait,South Korea,1,55,20,-57,44,0
Oman,Iran,1,45,18,-31,45,0
Portugal,Denmark,1,6,19,77,-9,1
Qatar,China PR,1,34,51,-1,-47,1
Saudi Arabia,United Arab Emirates,1,39,41,-20,9,1
England,Estonia,1,4,54,42,-118,1
United States,Mexico,1,14,12,57,62,0
Denmark,France,1,19,3,-9,72,0
Egypt,Zambia,1,25,46,1,-25,1
Nigeria,Cameroon,1,30,33,-12,-23,1
Estonia,Switzerland,1,54,17,-118,4,0
Iran,Japan,1,18,16,45,97,0
South Korea,Jamaica,1,20,42,44,-79,1
Peru,Chile,1,29,37,-42,10,0
Turkey,Iceland,1,22,43,-20,-81,1
Uruguay,Colombia,1,15,13,45,66,1
Chile,Colombia,1,37,13,10,66,0
Argentina,Brazil,1,1,5,108,187,0
Belgium,Italy,1,8,11,63,-2,1
France,Germany,1,3,9,72,52,1
Poland,Iceland,1,27,43,-33,-81,1
Qatar,Turkey,1,34,22,-1,-20,0
Spain,England,1,2,4,103,42,1
Jamaica,Panama,1,42,24,-79,-74,0
Mexico,El Salvador,1,12,47,62,-93,1
Sweden,Denmark,1,23,19,-1,-9,1
Brazil,Peru,1,5,29,187,-42,1
Colombia,Argentina,1,13,1,66,108,0
Denmark,Sweden,1,19,23,-9,-1,0
England,France,1,4,3,42,72,1
Honduras,Mexico,1,50,12,-86,62,0
Malaysia,United Arab Emirates,1,53,41,-76,9,0
Uruguay,Chile,1,15,37,45,10,1
Panama,Costa Rica,1,24,28,-74,-58,0
Sweden,Estonia,1,23,54,-1,-118,0
Uganda,Cameroon,1,48,33,-31,-23,0
United Arab Emirates,Iceland,1,41,43,9,-81,1
Egypt,Jordan,1,25,40,1,-23,0
United States,Iceland,1,14,43,57,-81,1
Chile,Argentina,1,37,1,10,108,0
Denmark,Iceland,1,19,43,-9,-81,1
Iraq,Thailand,1,38,52,-42,-50,0
Italy,Spain,1,11,2,-2,103,0
Saudi Arabia,Malaysia,1,39,53,-20,-76,1
Turkey,Sweden,1,22,23,-20,-1,1
Brazil,Uruguay,1,5,15,187,45,0
El Salvador,Honduras,1,47,50,-93,-86,0
Jamaica,Costa Rica,1,42,28,-79,-58,0
Netherlands,France,1,7,3,47,72,0
Nigeria,Egypt,1,30,25,-12,1,0
Cameroon,South Africa,1,33,36,-23,-7,0
Germany,England,1,9,4,52,42,0
